"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"50","Pop Style",427,176,0.412177985948478,0.00468384074941452,0.00702576112412178,0.00234192037470726,NA,0.00702576112412178,0.0140515222482436,0.0187353629976581,0.00234192037470726,0.00702576112412178,0.0117096018735363,"Views",0.456,0.105,133.051,0.127,0.215,2.41e-06,4,0.724,7,212947,-10.009,0.0481,1,"New Drake"
"51","Portland",659,268,0.406676783004552,0.0121396054628225,0.00606980273141123,0.00606980273141123,0.0121396054628225,0.00758725341426404,0.0197268588770865,0.0121396054628225,0.00606980273141123,0.00455235204855842,0.00758725341426404,"More Life",0.443,0.276,136.078,0.264,0.0172,0,4,0.925,1,236615,-8.216,0.35,1,"New Drake"
"52","Preach",429,179,0.417249417249417,0.0116550116550117,0.0186480186480186,0.00932400932400932,0.00932400932400932,0.0163170163170163,0.0256410256410256,0.0233100233100233,0.00466200466200466,0.020979020979021,0.027972027972028,"IYRTITL",0.511,0.104,65.256,0.475,0.165,8.95e-05,4,0.605,11,236973,-8.094,0.379,0,"New Drake"
"53","Ratchet Happy Birthday",306,112,0.366013071895425,0.00980392156862745,0.0228758169934641,0.0065359477124183,0.00326797385620915,0.0228758169934641,0.0163398692810458,0.0359477124183007,0.0065359477124183,0.00980392156862745,0.0196078431372549,"Scorpion",0.535,0.106,168.03,0.1,0.458,0.00246,4,0.648,2,207307,-13.295,0.444,1,"New Drake"
"54","Redemption",710,255,0.359154929577465,0.00845070422535211,0.0154929577464789,0.00563380281690141,0.00704225352112676,0.0112676056338028,0.0183098591549296,0.0253521126760563,0.00845070422535211,0.00845070422535211,0.0126760563380282,"Views",0.311,0.116,119.237,0.113,0.625,1.29e-06,4,0.66,0,333947,-8.681,0.357,1,"New Drake"
"55","Sacrifices",936,371,0.396367521367521,0.0106837606837607,0.0202991452991453,0.00641025641025641,0.0138888888888889,0.0181623931623932,0.0170940170940171,0.0363247863247863,0.00961538461538462,0.0117521367521368,0.0181623931623932,"More Life",0.439,0.138,139.112,0.397,0.0407,0,4,0.903,8,307593,-11.813,0.532,1,"New Drake"
"56","Since Way Back",575,188,0.32695652173913,0.00695652173913044,0.0104347826086957,0.00521739130434783,0.00695652173913044,0.00869565217391304,0.0104347826086957,0.0156521739130435,0.00695652173913044,0.00173913043478261,0.0121739130434783,"More Life",0.266,0.209,153.292,0.13,0.348,9.55e-06,4,0.468,0,368036,-11.121,0.222,1,"New Drake"
"57","Skepta Interlude",511,228,0.446183953033268,0.0176125244618395,0.00782778864970646,0.00782778864970646,0.0176125244618395,0.0117416829745597,0.0293542074363992,0.0293542074363992,0.00587084148727984,0.00391389432485323,0.0195694716242661,"More Life",0.822,0.155,86.733,0.252,0.0103,4.2e-06,5,0.745,7,143214,-6.354,0.415,1,"New Drake"
"58","Star67",611,274,0.448445171849427,0.00654664484451719,0.0130932896890344,0.00327332242225859,0.00490998363338789,0.00327332242225859,0.016366612111293,0.0114566284779051,0.00654664484451719,0.00327332242225859,0.00818330605564648,"IYRTITL",0.392,0.198,91.938,0.17,0.747,8.81e-06,4,0.521,3,294973,-7.88,0.166,1,"New Drake"
"59","Still Here",428,159,0.371495327102804,0.00467289719626168,0.0116822429906542,0.00467289719626168,0.00467289719626168,0.0116822429906542,0.00700934579439252,0.0280373831775701,NA,0.00233644859813084,0.014018691588785,"Views",0.438,0.649,133.958,0.152,0.0212,0,3,0.834,0,189853,-9.577,0.207,1,"New Drake"
"60","Summer Games",331,109,0.329305135951662,0.00604229607250755,0.0120845921450151,0.00604229607250755,0.00302114803625378,0.0120845921450151,0.00906344410876133,0.0211480362537764,0.00302114803625378,0.00906344410876133,0.00604229607250755,"Scorpion",0.482,0.11,136.015,0.0356,0.481,0.0457,4,0.776,1,247893,-11.268,0.128,1,"New Drake"
"61","Summers Over Interlude",86,43,0.5,NA,0.0348837209302326,NA,0.0116279069767442,0.0581395348837209,0.0116279069767442,0.0581395348837209,0.0116279069767442,0.0232558139534884,0.0465116279069767,"Views",0.267,0.0992,131.962,0.0297,0.372,0.00411,3,0.687,4,106333,-8.818,0.307,0,"New Drake"
"62","Survival",364,194,0.532967032967033,0.00824175824175824,0.0274725274725275,0.00549450549450549,0.0164835164835165,0.0192307692307692,0.021978021978022,0.043956043956044,0.0137362637362637,0.010989010989011,0.0192307692307692,"Scorpion",0.593,0.123,84.763,0.284,0.134,0,4,0.685,9,136187,-9.083,0.144,0,"New Drake"
"63","U With Me?",613,245,0.399673735725938,0.00489396411092985,0.0114192495921697,0.0032626427406199,0.00163132137030995,0.00489396411092985,0.0130505709624796,0.0228384991843393,0.0032626427406199,0.0032626427406199,0.0065252854812398,"Views",0.421,0.139,87.694,0.137,0.376,7.23e-06,4,0.442,2,297373,-11.455,0.111,1,"New Drake"
"64","Views",647,308,0.476043276661515,0.0154559505409583,0.0108191653786708,0.00618238021638331,0.0139103554868624,0.0170015455950541,0.0293663060278207,0.0231839258114374,0.0123647604327666,0.00463678516228748,0.0123647604327666,"Views",0.871,0.243,78.119,0.367,0.07,0,4,0.446,5,311960,-5.837,0.0795,1,"New Drake"
"65","Wednesday Night Interlude",211,107,0.507109004739337,0.00947867298578199,0.023696682464455,0.00947867298578199,0.004739336492891,0.028436018957346,0.018957345971564,0.037914691943128,0.014218009478673,0.00947867298578199,0.014218009478673,"IYRTITL",0.466,0.215,135.089,0.0512,0.729,7.63e-06,4,0.321,9,212280,-8.163,0.194,0,"New Drake"
"66","Weston Road Flows",757,362,0.478203434610304,0.011889035667107,0.0277410832232497,0.00924702774108322,0.0105680317040951,0.0250990752972259,0.0211360634081902,0.0435931307793923,0.00660501981505945,0.0145310435931308,0.0330250990752972,"Views",0.722,0.273,82.918,0.322,0.0733,0,4,0.62,1,253533,-7.022,0.365,1,"New Drake"
"67","With You",281,108,0.384341637010676,0.00355871886120996,0.00711743772241993,0.00355871886120996,0.00711743772241993,0.00711743772241993,0.0177935943060498,0.0177935943060498,0.0142348754448399,0.00355871886120996,0.0142348754448399,"Views",0.407,0.112,127.97,0.256,0.152,0.000188,4,0.872,1,195053,-10.036,0.802,1,"New Drake"
