energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.721,0.10400000000000001,123.01100000000001,0.0514,0.0945,0.391,4,0.7809999999999999,5,250337,-9.133,0.8490000000000001,0,audio_features,spotify:track:5WHVJ7MILL1r5xs8hDfJ4i,Get It Together,Drake,More Life,0.36988821720551734
0.7040000000000001,0.0821,76.40899999999999,0.297,0.0499,0.0,4,0.573,8,199173,-7.45,0.371,0,audio_features,spotify:track:6TCWK0swzjyTDVd5DkMdEK,Killer (feat. Drake),Nipsey Hussle,Bullets Ain't Got No Name Vol. 3.1,0.37196362054457544
0.802,0.606,150.013,0.29600000000000004,0.0606,0.0,4,0.519,11,296147,-3.449,0.414,0,audio_features,spotify:track:0IekdWvcDKkcnUyJt0NWga,I'm On One,DJ Khaled,We The Best Forever,0.3738513448950524
0.523,0.1,139.951,0.0839,0.305,0.000411,4,0.616,3,418507,-8.105,0.258,0,audio_features,spotify:track:0HUpfgkE3FulPgF5gR0v8u,The Zone,The Weeknd,Trilogy,0.3792988987821073
0.727,0.11199999999999999,107.37100000000001,0.0606,0.0864,0.00406,4,0.8009999999999999,0,234373,-4.687,0.218,1,audio_features,spotify:track:5EnYT6F7wEcdege6mDHEfO,Signs,Drake,Signs,0.3794832698846186
0.55,0.165,107.571,0.0496,0.0403,0.0,4,0.6509999999999999,7,252640,-8.216000000000001,0.11900000000000001,1,audio_features,spotify:track:4whiojdZ6EVhfky6InPF8r,Company,Drake,If You're Reading This It's Too Late,0.38459181599651465
0.267,0.0992,131.96200000000002,0.0297,0.37200000000000005,0.00411,3,0.687,4,106333,-8.818,0.307,0,audio_features,spotify:track:7JANfTi37pZykRjB1JvPTV,Summers Over Interlude,Drake,Views,0.3862179629362128
0.764,0.156,159.952,0.45799999999999996,0.0494,0.0,4,0.41700000000000004,1,264120,-5.364,0.525,1,audio_features,spotify:track:7zOTHPkTMxYNpYaFUCokmV,What Up,Pimp C,The Naked Soul of Sweet Jones,0.38842045387733265
0.5760000000000001,0.205,135.312,0.0519,0.319,0.00509,4,0.6990000000000001,1,289042,-9.304,0.425,0,audio_features,spotify:track:70DxNukoeuWgo2yssD0e0N,Houstatlantavegas,Drake,So Far Gone,0.3975101826598786
0.49200000000000005,0.145,75.067,0.157,0.414,0.0,4,0.675,6,296400,-9.516,0.47200000000000003,0,audio_features,spotify:track:1Sj81sMg37Hd4omn7Ow2qR,Connect,Drake,Nothing Was The Same (Deluxe),0.4003327091342453
0.266,0.16899999999999998,59.122,0.0945,0.596,0.0,4,0.491,6,215144,-15.626,0.368,1,audio_features,spotify:track:0ER8q7eFoMvabfw1S1oT7s,Brand New,Champagne Pa,Closer To My Dreams,0.40647553906058526
