energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album
0.84,0.87,159.939,0.311,0.0291,0.0,4,0.38,1,278067,-4.528,0.387,0,audio_features,spotify:track:4tE0wFfKP06mkDjTNM5BlN,Good Girls Go Bad,The Game,The R.E.D. Album
0.44,0.0798,145.116,0.471,0.00175,2.73e-06,4,0.711,1,220427,-9.509,0.121,1,audio_features,spotify:track:5iemvGR1EraL9s3XvohIP3,Grammys,Drake,Views
0.521,0.564,103.985,0.204,0.0118,0.0,4,0.797,1,306173,-8.21,0.391,1,audio_features,spotify:track:1dDFQi1sE3TgPJrLIsMDGl,Grindin',Lil Wayne,Grindin'
0.391,0.0945,131.018,0.063,0.0317,0.000502,4,0.877,1,189230,-8.196,0.122,1,audio_features,spotify:track:2ExePm1EBdSJkr4Y4Nc50z,Gyalchester,Drake,More Life
0.566,0.0917,151.894,0.106,0.365,0.000353,4,0.636,6,235987,-7.16,0.425,0,audio_features,spotify:track:6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,Take Care (Deluxe)
0.404,0.0718,99.999,0.0949,0.00357,2.17e-05,4,0.773,6,227880,-7.438,0.287,0,audio_features,spotify:track:6jdOi5U5LBzQrc4c1VT983,"Hold On, We're Going Home",Drake,Nothing Was The Same (Deluxe)
0.62,0.0504,134.96,0.0587,0.00347,0.000119,4,0.903,2,267067,-8.094,0.539,1,audio_features,spotify:track:2FBUoWkIuQXwayw2RNo5l6,Hotline Bling,Drake,Views
0.576,0.205,135.312,0.0519,0.319,0.00509,4,0.699,1,289042,-9.304,0.425,0,audio_features,spotify:track:70DxNukoeuWgo2yssD0e0N,Houstatlantavegas,Drake,So Far Gone
0.627,0.0795,98.21,0.252,0.123,0.0,3,0.444,7,206627,-8.744,0.359,0,audio_features,spotify:track:0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),Drake,Take Care (Deluxe)
0.633,0.368,129.97,0.169,0.0259,0.0,4,0.785,7,209413,-8.223,0.244,1,audio_features,spotify:track:7JnEdTyLhvRAZUg8z53Gx3,Hype,Drake,Views
0.701,0.193,145.346,0.188,0.183,0.0,4,0.603,11,373693,-4.495,0.603,0,audio_features,spotify:track:0OLgjNaWAxCMjOlglLQ0Dp,I Do It,2 Chainz,B.O.A.T.S. II #METIME
